"Идентификатор";"Элемент";"Корпус";"Количество";"Номинал";"Supplier and ref";
1;"U2";"SOT323";1;"NCP1117ST33T3G";;;
2;"R8,R7,R6,R5,R4,R3,R2,R9,R10,R11";"SM0805";10;"R";;;
3;"R1";"SM0805";1;"1KOM";;;
4;"C12,C9,C4,C13,C14";"SM0805";5;"100nf";;;
5;"C11";"SM0805";1;"1uf";;;
6;"C7,C3";"SM0805";2;"C";;;
7;"C6";"SM0805";1;"CAPAPOL";;;
8;"C1,C2";"SM0805";2;"10nf";;;
9;"P2";"SIL-5";1;"CONN_5";;;
10;"P3";"SIL-4";1;"CONN_4";;;
11;"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10";"SIL-3";10;"CONN_3";;;
12;"U1";"qfn48";1;"STM32F051С8";;;
13;"P1";"PIN_ARRAY_5x2";1;"CONN_5X2";;;
14;"X1";"HC-18UV";1;"16MGZ";;;
15;"JP2,JP3,JP1";"TEST_POINT_2PADS";3;"JUMPER";;;
16;"C10,C8";"C1V5";2;"1uf";;;
17;"C5";"C1V5";1;"CAPAPOL";;;
